Report_Number,Account,PO_Number,Location_Info_1,Location_Info_2,Location_Info_3,Location_Info_4,Location_Info_5,Farm_Name,Field_Name,Date_Sampled,Date_Received,Date_Reported,Sample_ID,Bag_ID,Crop_Code,Crop_Name,Lab_Number,N_percent_dm,NO3N_percent_dm,P_percent_dm,K_percent_dm,Ca_percent_dm,Mg_percent_dm,Na_percent_dm,S_percent_dm,Zn_ppm_dm,Mn_ppm_dm,Fe_ppm_dm,Cu_ppm_dm,B_ppm_dm,Mo_ppm_dm,Al_ppm_dm,Cl_ppm_dm,C_percent_dm,CN_ratio,Moisture_percent_wet_weight,Wet_Weight_grams,Dry_Weight_grams
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","27-2","27-2","99",Not Provided,"314596","1.95",,"0.28","1.00","0.51","0.57","0.01","0.14","16","40","117","8","8",,"32",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","27-3","27-3","99",Not Provided,"314597","2.19",,"0.26","1.20","0.51","0.50","0.01","0.14","18","34","89","8","7",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","28-1","28-1","99",Not Provided,"314599","2.09",,"0.28","1.08","0.82","0.56","0.01","0.18","24","46","120","8","7",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","28-2","28-2","99",Not Provided,"314600","1.93",,"0.27","1.10","0.72","0.55","0.01","0.15","19","46","138","8","9",,"42",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","28-3","28-3","99",Not Provided,"314603","2.41",,"0.27","1.24","0.63","0.47","0.01","0.18","24","38","95","9","9",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","29-1","29-1","99",Not Provided,"314604","2.68",,"0.30","1.05","0.59","0.55","0.01","0.17","22","45","104","10","10",,"19",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","29-2","29-2","99",Not Provided,"314605","2.55",,"0.29","0.97","0.71","0.56","0.01","0.18","24","54","114","10","11",,"20",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","29-3","29-3","99",Not Provided,"314606","2.87",,"0.31","1.16","0.59","0.55","0.01","0.19","21","47","105","10","10",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","30-1","30-1","99",Not Provided,"314607","2.50",,"0.26","0.99","0.69","0.59","0.01","0.17","21","46","125","9","7",,"22",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","30-2","30-2","99",Not Provided,"314608","2.39",,"0.25","1.00","0.72","0.60","0.01","0.17","23","44","118","9","8",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","30-3","30-3","99",Not Provided,"314609","2.48",,"0.27","1.14","0.57","0.48","0.01","0.17","21","43","157","9","9",,"27",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","31-1","31-1","99",Not Provided,"314610","2.61",,"0.28","1.06","0.55","0.51","0.01","0.18","25","51","116","9","10",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","31-2","31-2","99",Not Provided,"314611","2.73",,"0.28","1.10","0.56","0.58","0.01","0.18","27","55","240","11","9",,"80",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","31-3","31-3","99",Not Provided,"314613","2.68",,"0.27","0.99","0.63","0.52","0.01","0.17","23","49","122","11","8",,"28",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","32-1","32-1","99",Not Provided,"314614","2.65",,"0.27","1.10","0.74","0.54","0.01","0.20","27","52","145","10","9",,"34",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","32-2","32-2","99",Not Provided,"314615","2.55",,"0.25","1.09","0.58","0.50","0.01","0.17","22","44","156","9","9",,"41",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","32-3","32-3","99",Not Provided,"314616","2.87",,"0.27","1.24","0.59","0.44","0.01","0.20","24","47","119","10","8",,"24",,,,,,
